timestamp,device,ip,status,latency_ms
2025-11-18 13:29:51,Core Router,8.8.8.8,UP,55.0
2025-11-18 13:29:51,WiFi Controller,8.8.4.4,UP,102.0
2025-11-18 13:29:51,Lab Switch,1.1.1.1,UP,19.0
2025-11-18 13:30:01,Core Router,8.8.8.8,UP,142.0
2025-11-18 13:30:02,WiFi Controller,8.8.4.4,UP,153.0
2025-11-18 13:30:02,Lab Switch,1.1.1.1,UP,18.0
2025-11-18 13:30:12,Core Router,8.8.8.8,UP,96.0
2025-11-18 13:30:12,WiFi Controller,8.8.4.4,UP,56.0
2025-11-18 13:30:12,Lab Switch,1.1.1.1,UP,18.0
2025-11-18 13:30:22,Core Router,8.8.8.8,UP,58.0
2025-11-18 13:30:22,WiFi Controller,8.8.4.4,UP,49.0
2025-11-18 13:30:22,Lab Switch,1.1.1.1,UP,17.0
2025-11-18 13:30:32,Core Router,8.8.8.8,UP,122.0
2025-11-18 13:30:33,WiFi Controller,8.8.4.4,UP,63.0
2025-11-18 13:30:33,Lab Switch,1.1.1.1,UP,20.0
2025-11-18 13:30:43,Core Router,8.8.8.8,UP,35.0
2025-11-18 13:30:43,WiFi Controller,8.8.4.4,UP,33.0
2025-11-18 13:30:43,Lab Switch,1.1.1.1,UP,13.0
2025-11-18 13:30:53,Core Router,8.8.8.8,UP,89.0
2025-11-18 13:30:53,WiFi Controller,8.8.4.4,UP,57.0
2025-11-18 13:30:53,Lab Switch,1.1.1.1,UP,18.0
2025-11-18 13:31:03,Core Router,8.8.8.8,UP,44.0
2025-11-18 13:31:03,WiFi Controller,8.8.4.4,UP,67.0
2025-11-18 13:31:03,Lab Switch,1.1.1.1,UP,17.0
2025-11-18 13:31:14,Core Router,8.8.8.8,UP,66.0
2025-11-18 13:31:14,WiFi Controller,8.8.4.4,UP,67.0
2025-11-18 13:31:14,Lab Switch,1.1.1.1,UP,17.0
2025-11-18 13:31:24,Core Router,8.8.8.8,UP,71.0
2025-11-18 13:31:24,WiFi Controller,8.8.4.4,UP,59.0
2025-11-18 13:31:24,Lab Switch,1.1.1.1,UP,8.0
2025-11-18 13:31:34,Core Router,8.8.8.8,UP,35.0
2025-11-18 13:31:34,WiFi Controller,8.8.4.4,UP,27.0
2025-11-18 13:31:34,Lab Switch,1.1.1.1,UP,10.0
2025-11-18 13:31:44,Core Router,8.8.8.8,UP,33.0
2025-11-18 13:31:44,WiFi Controller,8.8.4.4,UP,25.0
2025-11-18 13:31:44,Lab Switch,1.1.1.1,UP,8.0
2025-11-18 13:31:54,Core Router,8.8.8.8,UP,39.0
2025-11-18 13:31:55,WiFi Controller,8.8.4.4,UP,28.0
2025-11-18 13:31:55,Lab Switch,1.1.1.1,UP,15.0
2025-11-18 13:32:05,Core Router,8.8.8.8,UP,36.0
2025-11-18 13:32:05,WiFi Controller,8.8.4.4,UP,29.0
2025-11-18 13:32:05,Lab Switch,1.1.1.1,UP,9.0
2025-11-18 13:32:15,Core Router,8.8.8.8,UP,41.0
2025-11-18 13:32:15,WiFi Controller,8.8.4.4,UP,27.0
2025-11-18 13:32:15,Lab Switch,1.1.1.1,UP,10.0
2025-11-18 13:32:25,Core Router,8.8.8.8,UP,35.0
2025-11-18 13:32:25,WiFi Controller,8.8.4.4,UP,27.0
2025-11-18 13:32:25,Lab Switch,1.1.1.1,UP,9.0
2025-11-18 13:32:35,Core Router,8.8.8.8,UP,41.0
2025-11-18 13:32:35,WiFi Controller,8.8.4.4,UP,87.0
2025-11-18 13:32:35,Lab Switch,1.1.1.1,UP,17.0
2025-11-18 13:32:46,Core Router,8.8.8.8,UP,36.0
2025-11-18 13:32:46,WiFi Controller,8.8.4.4,UP,28.0
2025-11-18 13:32:46,Lab Switch,1.1.1.1,UP,10.0
2025-11-18 13:32:56,Core Router,8.8.8.8,UP,391.0
2025-11-18 13:32:56,WiFi Controller,8.8.4.4,UP,57.0
2025-11-18 13:32:56,Lab Switch,1.1.1.1,UP,107.0
2025-11-18 13:33:07,Core Router,8.8.8.8,UP,110.0
2025-11-18 13:33:07,WiFi Controller,8.8.4.4,UP,88.0
2025-11-18 13:33:07,Lab Switch,1.1.1.1,UP,11.0
2025-11-18 13:33:17,Core Router,8.8.8.8,UP,36.0
