timestamp,device,ip,status,latency_ms,cpu_usage,mem_free
2025-11-18 13:55:34,Core Router,8.8.8.8,UP,36.0,57,111
2025-11-18 13:55:34,WiFi Controller,8.8.4.4,UP,39.0,7,215
2025-11-18 13:55:38,SNMP Demo Router,demo.snmplabs.com,DOWN,,,
2025-11-18 13:55:48,Core Router,8.8.8.8,UP,230.0,51,135
2025-11-18 13:55:48,WiFi Controller,8.8.4.4,UP,230.0,35,199
2025-11-18 13:55:48,SNMP Demo Router,demo.snmplabs.com,UP,322.0,6,365
2025-11-18 13:55:59,Core Router,8.8.8.8,UP,85.0,32,240
28
2025-11-18 13:55:59,SNMP Demo Router,demo.snmplabs.com,UP,385.0,30,530
2025-11-18 13:56:09,Core Router,8.8.8.8,UP,35.0,18,317
20
2025-11-18 13:56:09,SNMP Demo Router,demo.snmplabs.com,UP,285.0,14,566
2025-11-18 13:56:19,WiFi Controller,8.8.4.4,UP,71.0,44,563
2025-11-18 13:56:20,SNMP Demo Router,demo.snmplabs.com,UP,367.0,66,627
2025-11-18 16:20:58,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:20:58,Core Router,8.8.8.8,UP,24.0,42,555
2025-11-18 16:20:58,WiFi Controller,8.8.4.4,UP,21.0,44,539
2025-11-18 16:20:59,SNMP Demo Router,demo.snmplabs.com,UP,235.0,37,539
2025-11-18 16:21:09,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:21:09,WiFi Controller,8.8.4.4,UP,27.0,49,247
2025-11-18 16:21:09,Core Router,8.8.8.8,UP,22.0,62,483
2025-11-18 16:21:09,SNMP Demo Router,demo.snmplabs.com,UP,239.0,78,720
2025-11-18 16:35:31,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:35:31,Core Router,8.8.8.8,UP,24.0,67,201
2025-11-18 16:35:31,WiFi Controller,8.8.4.4,UP,22.0,80,317
2025-11-18 16:35:31,SNMP Demo Router,demo.snmplabs.com,UP,237.0,19,193
2025-11-18 16:35:41,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:35:41,WiFi Controller,8.8.4.4,UP,25.0,47,757
2025-11-18 16:35:41,Core Router,8.8.8.8,UP,26.0,71,640
2025-11-18 16:35:41,SNMP Demo Router,demo.snmplabs.com,UP,245.0,66,359
2025-11-18 16:35:51,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:35:51,Core Router,8.8.8.8,UP,24.0,14,577
2025-11-18 16:35:51,WiFi Controller,8.8.4.4,UP,23.0,36,174
2025-11-18 16:35:51,SNMP Demo Router,demo.snmplabs.com,UP,236.0,58,235
2025-11-18 16:36:01,Lab Switch 1,1.1.1.1,UP,53.0,,
2025-11-18 16:36:01,WiFi Controller,8.8.4.4,UP,63.0,11,721
2025-11-18 16:36:01,Core Router,8.8.8.8,UP,63.0,63,169
2025-11-18 16:36:02,SNMP Demo Router,demo.snmplabs.com,UP,274.0,23,274
2025-11-18 16:36:12,Lab Switch 1,1.1.1.1,UP,8.0,,
2025-11-18 16:36:12,WiFi Controller,8.8.4.4,UP,20.0,41,108
2025-11-18 16:36:12,Core Router,8.8.8.8,UP,22.0,46,286
2025-11-18 16:36:12,SNMP Demo Router,demo.snmplabs.com,UP,234.0,10,308
2025-11-18 16:36:22,Lab Switch 1,1.1.1.1,UP,13.0,,
